date_popularity,popularity
2009-03-01,0
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,0
2009-04-12,1
2009-04-19,1
2009-04-26,1
2009-05-03,0
2009-05-10,0
2009-05-17,1
2009-05-24,2
2009-05-31,1
2009-06-07,1
2009-06-14,0
2009-06-21,1
2009-06-28,0
2009-07-05,0
2009-07-12,1
2009-07-19,1
2009-07-26,1
2009-08-02,0
2009-08-09,1
2009-08-16,1
2009-08-23,1
2009-08-30,4
2009-09-06,3
2009-09-13,3
2009-09-20,1
2009-09-27,1
2009-10-04,3
2009-10-11,1
2009-10-18,2
2009-10-25,4
2009-11-01,3
2009-11-08,3
2009-11-15,3
2009-11-22,3
2009-11-29,2
2009-12-06,2
2009-12-13,5
2009-12-20,1
2009-12-27,2
2010-01-03,4
2010-01-10,4
2010-01-17,2
2010-01-24,4
2010-01-31,4
2010-02-07,0
2010-02-14,4
2010-02-21,4
2010-02-28,4
2010-03-07,2
2010-03-14,3
2010-03-21,3
2010-03-28,5
2010-04-04,4
2010-04-11,3
2010-04-18,5
2010-04-25,4
2010-05-02,6
2010-05-09,10
2010-05-16,9
2010-05-23,6
2010-05-30,9
2010-06-06,8
2010-06-13,6
2010-06-20,6
2010-06-27,10
2010-07-04,6
2010-07-11,6
2010-07-18,7
2010-07-25,7
2010-08-01,8
2010-08-08,6
2010-08-15,6
2010-08-22,8
2010-08-29,7
2010-09-05,6
2010-09-12,9
2010-09-19,11
2010-09-26,10
2010-10-03,12
2010-10-10,11
2010-10-17,9
2010-10-24,12
2010-10-31,9
2010-11-07,13
2010-11-14,15
2010-11-21,14
2010-11-28,18
2010-12-05,18
2010-12-12,18
2010-12-19,16
2010-12-26,16
2011-01-02,76
2011-01-09,82
2011-01-16,31
2011-01-23,30
2011-01-30,68
2011-02-06,50
2011-02-13,40
2011-02-20,60
2011-02-27,69
2011-03-06,59
2011-03-13,40
2011-03-20,20
2011-03-27,69
2011-04-03,30
2011-04-10,40
2011-04-17,74
2011-04-24,40
2011-05-01,80
2011-05-08,10
2011-05-15,89
2011-05-22,48
2011-05-29,40
2011-06-05,59
2011-06-12,29
2011-06-19,59
2011-06-26,10
2011-07-03,50
2011-07-10,40
2011-07-17,20
2011-07-24,30
2011-07-31,30
2011-08-07,29
2011-08-14,20
2011-08-21,48
2011-08-28,75
2011-09-04,36
2011-09-11,27
2011-09-18,35
2011-09-25,27
2011-10-02,36
2011-10-09,77
2011-10-16,44
2011-10-23,26
2011-10-30,44
2011-11-06,17
2011-11-13,85
2011-11-20,26
2011-11-27,17
2011-12-04,33
2011-12-11,17
2011-12-18,26
2011-12-25,28
2012-01-01,26
2012-01-08,32
2012-01-15,8
2012-01-22,32
2012-01-29,31
2012-02-05,30
2012-02-12,31
2012-02-19,40
2012-02-26,16
2012-03-04,39
2012-03-11,47
2012-03-18,31
2012-03-25,63
2012-04-01,32
2012-04-08,40
2012-04-15,77
2012-04-22,69
2012-04-29,48
2012-05-06,61
2012-05-13,31
2012-05-20,62
2012-05-27,100
2012-06-03,92
2012-06-10,30
2012-06-17,46
2012-06-24,69
2012-07-01,32
2012-07-08,39
2012-07-15,31
2012-07-22,46
2012-07-29,47
2012-08-05,16
2012-08-12,47
2012-08-19,47
2012-08-26,38
2012-09-02,38
2012-09-09,37
2012-09-16,66
2012-09-23,29
2012-09-30,29
2012-10-07,49
2012-10-14,49
2012-10-21,21
2012-10-28,14
2012-11-04,48
2012-11-11,69
2012-11-18,55
2012-11-25,14
2012-12-02,27
2012-12-09,13
2012-12-16,35
2012-12-23,30
2012-12-30,43
2013-01-06,48
2013-01-13,44
2013-01-20,41
2013-01-27,42
2013-02-03,42
2013-02-10,48
2013-02-17,48
2013-02-24,48
2013-03-03,56
2013-03-10,100
2013-03-17,74
2013-03-24,72
2013-03-31,67
2013-04-07,40
2013-04-14,33
2013-04-21,44
2013-04-28,40
2013-05-05,42
2013-05-12,37
2013-05-19,39
2013-05-26,44
2013-06-02,38
2013-06-09,34
2013-06-16,38
2013-06-23,38
2013-06-30,32
2013-07-07,34
2013-07-14,33
2013-07-21,38
2013-07-28,38
2013-08-04,37
2013-08-11,33
2013-08-18,31
2013-08-25,30
2013-09-01,35
2013-09-08,35
2013-09-15,32
2013-09-22,32
2013-09-29,37
2013-10-06,32
2013-10-13,35
2013-10-20,32
2013-10-27,30
2013-11-03,31
2013-11-10,35
2013-11-17,30
2013-11-24,28
2013-12-01,30
2013-12-08,31
2013-12-15,27
2013-12-22,25
2013-12-29,28
2014-01-05,30
2014-01-12,30
2014-01-19,28
2014-01-26,30
2014-02-02,26
2014-02-09,33
2014-02-16,52
2014-02-23,29
2014-03-02,30
2014-03-09,36
2014-03-16,31
2014-03-23,34
2014-03-30,31
2014-04-06,34
2014-04-13,37
2014-04-20,34
2014-04-27,36
2014-05-04,37
2014-05-11,34
2014-05-18,30
2014-05-25,60
2014-06-01,39
2014-06-08,31
2014-06-15,33
2014-06-22,35
2014-06-29,37
2014-07-06,100
2014-07-13,62
2014-07-20,57
2014-07-27,50
2014-08-03,46
2014-08-10,38
2014-08-17,36
2014-08-24,40
2014-08-31,34
2014-09-07,32
2014-09-14,33
2014-09-21,40
2014-09-28,37
2014-10-05,35
2014-10-12,35
2014-10-19,36
2014-10-26,32
2014-11-02,33
2014-11-09,33
2014-11-16,35
2014-11-23,29
2014-11-30,31
2014-12-07,26
2014-12-14,26
2014-12-21,22
2014-12-28,23
2015-01-04,27
2015-01-11,27
2015-01-18,38
2015-01-25,35
2015-02-01,32
2015-02-08,31
2015-02-15,34
2015-02-22,41
2015-03-01,32
2015-03-08,34
2015-03-15,31
2015-03-22,33
2015-03-29,32
2015-04-05,57
2015-04-12,56
2015-04-19,59
